# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  4 07:43:34 2015
#
# CONSTRAINT:  order by kepid desc
#
# COLUMN kepid:          (not found)
# COLUMN tce_plnt_num:   Planet Number
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_ingress:    Ingress Duration [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
#
rowid,kepid,tce_plnt_num,tce_period,tce_time0bk,tce_duration,tce_ingress,tce_depth
19346,12935144,1,1.099280,132.607,1.6880,4.9390000e-02,2.7930000e+02
19345,12934846,1,3.129610,134.132,9.1910,1.1110000e+00,2.4430000e+02
19339,12885212,1,2.057470,133.325,2.4260,5.0150000e-02,3.2290000e+02
19340,12885212,2,95.907100,226.913,3.8510,2.0590000e-01,9.2820000e+02
19333,12885086,1,0.567715,131.767,1.8070,1.0420000e-02,1.0710000e+00
19338,12885086,2,0.567806,131.993,1.6410,5.6870000e-02,2.7220000e+01
19332,12884589,1,2.744000,134.099,10.9700,1.1420000e-01,1.1370000e+02
19331,12884588,1,0.690452,132.021,4.9790,1.8920000e-02,1.6860000e+01
19330,12834874,1,7.658800,134.746,3.0700,1.3870000e-01,6.5250000e+02
19326,12834393,1,3.566500,131.737,9.0610,3.0530000e-01,3.2610000e+01
19325,12833701,1,6.046890,131.996,17.4100,2.2480000e-01,1.2190000e+02
19324,12833566,1,0.896375,131.597,1.8780,2.2260000e-02,3.8770000e+01
19318,12785320,1,19.963600,138.384,2.5320,9.2560000e-02,3.9000000e+02
19323,12785320,2,57.383800,170.732,3.9220,7.7830000e-02,3.3640000e+02
19317,12784394,1,0.546724,131.659,1.6180,2.2190000e-02,3.6990000e+00
19316,12784167,1,1.847870,132.206,1.8410,3.1310000e-02,3.0000000e+02
19315,12737015,1,24.668000,136.651,8.0740,7.7280000e-02,1.1220000e+02
19388,12736658,1,0.855281,131.668,1.0390,1.0930000e-01,2.7520000e+02
